,longitude,latitude,ssrd,t2mmin,vpd,sSWC,FPAR,GPP,GPP_constant-Tmin,GPP_constant-SWrad,GPP_constant-VPD,GPP_constant-FPAR,GPP_constant-SWC
2010-07-05,-92.125,31.625,23.872982,24.326385,4432.0312,0.3395731,0.6833333,0.0,0.0,0.0,7.7153296288574404,0.0,0.0
2010-07-06,-92.125,31.625,11.948714,24.32611,2890.4463,0.3653865,0.686,0.0,0.0,0.0,3.876684980401801,0.0,0.0
2010-07-07,-92.125,31.625,18.1764,25.287933,3446.9722,0.42952874,0.68866664,0.0,0.0,0.0,5.920142315119244,0.0,0.0
2010-07-08,-92.125,31.625,24.40074,23.91272,4212.361,0.4087959,0.6913333,0.0,0.0,0.0,7.978214410236335,0.0,0.0
2010-07-09,-92.125,31.625,21.64363,24.837128,4466.925,0.37393573,0.69399995,0.0,0.0,0.0,7.104029725281261,0.0,0.0
2010-07-10,-92.125,31.625,16.144194,24.877441,3306.5703,0.38606638,0.69666666,0.0,0.0,0.0,5.319326213866356,0.0,0.0
2010-07-11,-92.125,31.625,23.627312,24.576538,4516.182,0.37768915,0.6993333,0.0,0.0,0.0,7.8147259833218286,0.0,0.0
2010-07-12,-92.125,31.625,24.22273,24.92694,4465.7134,0.35309738,0.70199996,0.0,0.0,0.0,8.042209929511394,0.0,0.0
2010-07-13,-92.125,31.625,25.009247,26.026062,4705.174,0.33182412,0.7046666,0.0,0.0,0.0,8.334883478567145,0.0,0.0
2010-07-14,-92.125,31.625,27.51789,24.793243,4923.642,0.31423104,0.7073333,0.0,0.0,0.0,9.205650116917466,0.0,0.0
2010-07-15,-92.125,31.625,27.210358,25.605988,5225.1016,0.2991904,0.71,0.0,0.0,0.0,9.137088559431,0.0,0.0
2010-07-16,-92.125,31.625,25.54207,26.459412,5593.5923,0.2905302,0.70937496,0.0,0.0,0.0,8.569336065156058,0.0,0.0
2010-07-17,-92.125,31.625,17.350073,25.833557,4288.5303,0.29319414,0.70875,0.0,0.0,0.0,5.815801941716812,0.0,0.0
2010-07-18,-92.125,31.625,19.09311,23.799255,3102.9375,0.3322392,0.708125,0.0,0.0,0.0,6.394429913942814,0.0,0.0
2010-07-19,-92.125,31.625,18.27464,23.60608,2986.953,0.38803086,0.7075,0.0,0.0,0.0,6.1149161240100005,0.0,0.0
2010-07-20,-92.125,31.625,25.82551,23.775482,4351.838,0.38125718,0.70687497,0.0,0.0,0.0,8.63389455453694,0.0,0.0
2010-07-21,-92.125,31.625,24.24852,25.193665,4651.416,0.34894675,0.70624995,0.0,0.0,0.0,8.099512809970625,0.0,0.0
2010-07-22,-92.125,31.625,23.010271,25.071014,4529.2207,0.33031663,0.705625,0.0,0.0,0.0,7.679110599255656,0.0,0.0
2010-07-23,-92.125,31.625,26.19431,23.82605,4795.4253,0.31835222,0.705,0.0,0.0,0.0,8.733962234722501,0.0,0.0
2010-07-24,-92.125,31.625,23.231646,26.737152,5089.686,0.30583555,0.70437497,0.0,0.0,0.0,7.73925445888648,0.0,0.0
2010-07-25,-92.125,31.625,20.109917,26.558105,4688.08,0.30391148,0.70375,0.0,0.0,0.0,6.693355866274313,0.0,0.0
2010-07-26,-92.125,31.625,16.250677,25.855194,3436.5283,0.36815575,0.703125,0.0,0.0,0.0,5.404048373777345,0.0,0.0
2010-07-27,-92.125,31.625,16.49607,23.668396,2925.5735,0.37852407,0.7025,0.0,0.0,0.0,5.4807759553162505,0.0,0.0
2010-07-28,-92.125,31.625,21.082504,23.231384,2926.469,0.43981707,0.701875,0.0,0.0,0.0,6.998374756010251,0.0,0.0
2010-07-29,-92.125,31.625,24.577353,24.341522,4215.577,0.4109708,0.70124996,0.0,0.0,0.0,8.151230729867324,0.0,0.0
2010-07-30,-92.125,31.625,26.52877,25.09793,5026.4775,0.37646392,0.700625,0.0,0.0,0.0,8.79058897865719,0.0,0.0
2010-07-31,-92.125,31.625,26.047935,25.636993,5393.4517,0.3458323,0.7,0.0,0.0,0.0,8.623559600775,0.0,0.0
2010-08-01,-92.125,31.625,24.390957,27.208405,5913.086,0.32469806,0.6953333,0.0,0.0,0.0,8.021158513486865,0.0,0.0
2010-08-02,-92.125,31.625,24.330513,27.52417,6202.006,0.30792847,0.6906667,0.0,0.0,0.0,7.947581919430938,0.0,0.0
2010-08-03,-92.125,31.625,21.46636,28.612274,5839.5483,0.29776052,0.686,0.0,0.0,0.0,6.964625263932001,0.0,0.0
2010-08-04,-92.125,31.625,22.341524,28.265747,5525.307,0.31169656,0.6813333,0.0,0.0,0.0,7.199256380364275,0.0,0.0
2010-08-05,-92.125,31.625,16.90646,23.779327,4031.8162,0.33325616,0.6766667,0.0,0.0,0.0,5.410566207100342,0.0,0.0
2010-08-06,-92.125,31.625,13.231923,24.533417,2489.472,0.45895767,0.672,0.0,0.0,0.0,4.2054015244752,0.0,0.0
2010-08-07,-92.125,31.625,18.851665,24.566742,3832.3738,0.43882802,0.6673333,0.0,0.0,0.0,5.949873607278001,0.0,0.0
2010-08-08,-92.125,31.625,23.3542,25.599274,4572.9346,0.4156175,0.6626667,0.0,0.0,0.0,7.319398152618964,0.0,0.0
2010-08-09,-92.125,31.625,22.266079,26.686768,4722.969,0.38641745,0.658,0.0,0.0,0.0,6.9292282774869,0.0,0.0
2010-08-10,-92.125,31.625,22.782663,25.520935,4591.316,0.37932122,0.6533333,0.0,0.0,0.0,7.039705811853319,0.0,0.0
2010-08-11,-92.125,31.625,22.323334,26.079346,5081.303,0.36256713,0.6486667,0.0,0.0,0.0,6.848506787451961,0.0,0.0
2010-08-12,-92.125,31.625,19.126991,26.938232,5095.901,0.34523585,0.644,0.0,0.0,0.0,5.825695093381801,0.0,0.0
2010-08-13,-92.125,31.625,17.698812,26.023438,3911.0073,0.37252226,0.6393333,0.0,0.0,0.0,5.351637292210629,0.0,0.0
2010-08-14,-92.125,31.625,22.96155,26.053864,4454.7437,0.3986718,0.6346667,0.0,0.0,0.0,6.892267794668837,0.0,0.0
2010-08-15,-92.125,31.625,23.904898,27.204834,5274.431,0.36908346,0.63,0.0,0.0,0.0,7.122667550733,0.0,0.0
2010-08-16,-92.125,31.625,18.482214,26.56137,4618.3306,0.356827,0.629375,0.0,0.0,0.0,5.501469533174438,0.0,0.0
2010-08-17,-92.125,31.625,19.074837,26.061401,4100.6196,0.38368043,0.62874997,0.0,0.0,0.0,5.672232744422238,0.0,0.0
2010-08-18,-92.125,31.625,5.076575,25.908966,1551.1038,0.4381402,0.628125,0.7315826380835029,0.7315826380835029,2.1616423614843754,1.5081068606132815,0.5823543387729376,0.7315826380835029
2010-08-19,-92.125,31.625,16.915491,25.624115,2735.7537,0.4660796,0.6275,0.0,0.0,0.0,5.020113871452375,0.0,0.0
2010-08-20,-92.125,31.625,22.352865,24.337067,3547.0552,0.46145985,0.626875,0.0,0.0,0.0,6.627189290159532,0.0,0.0
2010-08-21,-92.125,31.625,23.184198,25.805145,4388.176,0.42506945,0.62625,0.0,0.0,0.0,6.866810235617624,0.0,0.0
2010-08-22,-92.125,31.625,19.722189,26.79892,4434.4526,0.39848968,0.625625,0.0,0.0,0.0,5.83558556052347,0.0,0.0
2010-08-23,-92.125,31.625,21.522406,24.283508,3994.9543,0.39026442,0.625,0.0,0.0,0.0,6.361888698562501,0.0,0.0
2010-08-24,-92.125,31.625,25.492235,23.96585,4638.0117,0.37150827,0.624375,0.0,0.0,0.0,7.5278099941917205,0.0,0.0
