,longitude,latitude,ssrd,t2mmin,vpd,sSWC,FPAR,GPP,GPP_constant-Tmin,GPP_constant-SWrad,GPP_constant-VPD,GPP_constant-FPAR,GPP_constant-SWC
1982-02-19,13.125,49.375,8.225642,-6.013336,417.32397,0.3861531,0.29923075,0.06961333479364162,1.164102588522435,0.12694450134161253,0.06961333479364162,0.11632048977861002,0.06961333479364162
1982-02-20,13.125,49.375,10.998715,-8.330902,486.32864,0.381606,0.30153847,0.0,1.5685555560355888,0.0,0.0,0.0,0.0
1982-02-21,13.125,49.375,11.057552,-8.248535,501.3606,0.37788293,0.30384615,0.0,1.589014857784349,0.0,0.0,0.0,0.0
1982-02-22,13.125,49.375,10.413273,-7.1252136,501.05954,0.37487078,0.30615383,0.0,1.5077945906039951,0.0,0.0,0.0,0.0
1982-02-23,13.125,49.375,11.692574,-5.700653,525.0337,0.37249863,0.30846152,0.13424591633272565,1.7057930919024855,0.17221945698106206,0.13424591633272565,0.21760561306435505,0.13424591633272565
1982-02-24,13.125,49.375,9.699494,-6.329651,492.61765,0.37047973,0.31076923,0.05787997752855544,1.4256152100629422,0.0895097891630565,0.05787997752855544,0.09312372645219,0.05787997752855544
1982-02-25,13.125,49.375,4.491306,-5.6103516,339.29602,0.36759415,0.3130769,0.05599522466529938,0.6650264212030806,0.18701205617686498,0.05599522466529938,0.08942726957067,0.05599522466529938
1982-02-26,13.125,49.375,4.625463,-4.173279,303.31815,0.36495554,0.3153846,0.1181866131383553,0.689939364497112,0.38326956611161506,0.1181866131383553,0.18736902996905255,0.1181866131383553
1982-02-27,13.125,49.375,8.726982,-5.4529724,455.267,0.3644891,0.3176923,0.12299539093561397,1.311251502511876,0.21140537061199502,0.12299539093561397,0.19357628582061,0.12299539093561397
1982-02-28,13.125,49.375,9.692913,-4.8446045,631.9676,0.36910334,0.32,0.19158552779440324,1.466964225072,0.29648289600000005,0.19158552779440324,0.29935238717875506,0.19158552779440324
1982-03-01,13.125,49.375,3.174025,2.3267212,511.20087,0.3836014,0.31466666,0.26702706898742873,0.4723634689322992,1.2619327304641368,0.26702706898742873,0.42430149572793757,0.26702706898742873
1982-03-02,13.125,49.375,7.202554,1.4498596,507.1361,0.39941698,0.30933332,0.539614028265871,1.0537278427374945,1.1237972563604612,0.539614028265871,0.8722209884565151,0.539614028265871
1982-03-03,13.125,49.375,5.9340653,1.3815308,737.8986,0.38732293,0.304,0.4116584287261101,0.810351237649823,1.0405811393568,0.43341590727112034,0.6770697840889969,0.4116584287261101
1982-03-04,13.125,49.375,8.682238,1.9714966,726.2683,0.3863329,0.29866666,0.6377237073546606,1.17293306484212,1.1017730233057317,0.6667960135452327,1.067617837482531,0.6377237073546606
1982-03-05,13.125,49.375,10.141778,-2.0812073,699.9083,0.37890527,0.29333332,0.40746987701923654,1.3668898927180024,0.6026604166733435,0.4194234452076547,0.6945509583078331,0.40746987701923654
1982-03-06,13.125,49.375,10.415388,-2.84375,538.25226,0.37165862,0.288,0.35736444241451715,1.4186758333248002,0.5146679736000002,0.35736444241451715,0.6204243791918701,0.35736444241451715
1982-03-07,13.125,49.375,13.257767,-3.553009,705.77875,0.36739033,0.28266665,0.3584419604989732,1.7158542867351518,0.40554562525383037,0.370253032227015,0.6340365241159033,0.3584419604989732
1982-03-08,13.125,49.375,13.715969,-1.1391296,908.33246,0.3641095,0.27733332,0.5447035096254847,1.5335121329546302,0.5956963481313111,0.639023357139236,0.9820376246631396,0.5447035096254847
