,longitude,latitude,ssrd,t2mmin,vpd,sSWC,FPAR,GPP,GPP_constant-Tmin,GPP_constant-SWrad,GPP_constant-VPD,GPP_constant-FPAR,GPP_constant-SWC
1982-03-17,11.625,50.875,4.779953,2.0483093,596.8832,0.3960771,0.33375,0.41376864450203343,0.7545015399380625,1.298449936125,0.41376864450203343,0.61987811910417,0.41376864450203343
1982-03-18,11.625,50.875,13.071066,0.052124023,662.86346,0.4112378,0.330625,0.8671030531660581,2.028785805255166,0.9950638913070191,0.8735674523131756,1.311308965090447,0.8671030531660581
1982-03-19,11.625,50.875,10.767812,-0.1605835,563.2213,0.41072032,0.3275,0.6913190642471932,1.6678385144685002,0.9630355696875,0.6913190642471932,1.05544895304915,0.6913190642471932
1982-03-20,11.625,50.875,10.488879,-1.6385193,684.68964,0.40413395,0.324375,0.5124554189434918,1.57727121866264,0.7328553684480845,0.5228069974938704,0.789912013785729,0.5124554189434918
1982-03-21,11.625,50.875,8.199273,-0.113983154,483.0277,0.40058163,0.32125,0.5198548470421783,1.2457580806186874,0.9510383061562501,0.5198548470421783,0.8091126024002775,0.5198548470421783
1982-03-22,11.625,50.875,7.2964697,-0.16537476,521.8655,0.40509817,0.318125,0.45471146793838896,1.097806537755647,0.9347907000937501,0.45471146793838896,0.7146742128697665,0.45471146793838896
1982-03-23,11.625,50.875,9.971464,0.12246704,727.46204,0.4027745,0.315,0.6128981972158816,1.4197317517161956,0.9219782529664876,0.6413081481802674,0.97285428129505,0.6128981972158816
1982-03-24,11.625,50.875,17.107502,-1.2628174,886.7237,0.40084174,0.311875,0.758669354910365,2.181965357809505,0.6652075986111518,0.8773786919282583,1.2163035750065971,0.758669354910365
1982-03-25,11.625,50.875,15.119644,-0.8768921,1013.3609,0.40094054,0.30875,0.6492309016206824,1.7494769647552744,0.6440934405803627,0.8193221878100484,1.0513860754990807,0.6492309016206824
1982-03-26,11.625,50.875,17.230732,-1.2683105,1219.2881,0.3958448,0.305625,0.5837788520173891,1.680422717378783,0.5082014380039592,0.8652421105934329,0.9550574266133157,0.5837788520173891
1982-03-27,11.625,50.875,17.654133,1.0898743,1477.289,0.38760957,0.3025,0.6529902059706173,1.3318176748329944,0.5548192646763939,1.2383656475831923,1.0793226544968881,0.6529902059706173
1982-03-28,11.625,50.875,14.608657,2.7104492,1375.8054,0.38186395,0.299375,0.7124691173068437,1.2106527057040672,0.7315550470931487,1.217271685130435,1.189927544562578,0.7124691173068437
1982-03-29,11.625,50.875,14.767972,4.9226685,1137.5635,0.37570375,0.29625,1.0786201874922972,1.492693312333652,1.0955670021844879,1.4951763064767076,1.820456012645227,1.0786201874922972
1982-03-30,11.625,50.875,6.343185,2.3427734,664.43536,0.37532806,0.293125,0.4938208659456604,0.8721668420092905,1.1677592548829814,0.49790367608959507,0.8423383640864142,0.4938208659456604
1982-03-31,11.625,50.875,6.1715536,0.9526367,530.6467,0.37250578,0.29,0.40799493453627356,0.8464625197848,0.991634265,0.40799493453627356,0.70343954230392,0.40799493453627356
1982-04-01,11.625,50.875,18.574076,-1.5602722,1090.8998,0.36470369,0.292,0.6326797019624876,1.918955723271118,0.51093769237497,0.8457154150013201,1.0833556540453557,0.6326797019624876
1982-04-02,11.625,50.875,17.071423,1.8494568,1341.6686,0.35711586,0.294,0.7699311011836848,1.435635094506218,0.6765087197332801,1.2730342281476268,1.3094066346661306,0.7699311011836848
1982-04-03,11.625,50.875,10.4970875,3.1381836,975.6667,0.35499212,0.296,0.7348488412780273,1.1960430359342893,1.05007532986368,0.9028736224081918,1.2412987183750464,0.7348488412780273
1982-04-04,11.625,50.875,18.091734,0.014404297,1101.891,0.35057953,0.29799998,0.8040621011246037,1.891465775404855,0.6666542586171704,1.0839338111682444,1.349097575651857,0.8040621011246037
1982-04-05,11.625,50.875,19.891743,1.2167053,1549.4214,0.34297988,0.29999998,0.683085249224046,1.3716571269559157,0.5151021073598572,1.4055252041647037,1.1384754912717763,0.683085249224046
1982-04-06,11.625,50.875,18.061302,6.488434,1940.9115,0.33186203,0.302,0.5531682933405379,0.6766584628018812,0.459408983920875,2.108914576212497,0.9158415452657913,0.5531682933405379
1982-04-07,11.625,50.875,8.28313,8.73642,872.4547,0.3424247,0.304,0.9914243175043794,1.0395557486676938,1.7953798579239602,1.1357822402387208,1.6306321011585188,0.9914243175043794
1982-04-08,11.625,50.875,8.04467,0.13006592,712.27795,0.39104986,0.306,0.4851615310731486,1.1227991924858796,0.9046266616402201,0.5030708534561888,0.7927475997927265,0.4851615310731486
1982-04-09,11.625,50.875,16.74934,-0.124572754,663.5652,0.3846905,0.308,1.0087565507501814,2.420822056035953,0.9033996719424602,1.0166867070652907,1.6375918031658792,1.0087565507501814
1982-04-10,11.625,50.875,11.953101,0.75198364,575.1758,0.38526282,0.31,0.8233235259000021,1.7524979265645,1.0331923815000001,0.8233235259000021,1.3279411708064552,0.8233235259000021
1982-04-11,11.625,50.875,17.851688,-0.63116455,586.37427,0.39413145,0.312,1.0168020576747072,2.6342022219551997,0.854374716,1.0168020576747072,1.6294904770428,1.0168020576747072
1982-04-12,11.625,50.875,17.870197,-0.8227234,593.81256,0.38989,0.31399998,0.993596448389466,2.653836667706907,0.834011327678256,0.993596448389466,1.5821600504392803,0.993596448389466
1982-04-13,11.625,50.875,17.993467,-0.06237793,642.1464,0.3850461,0.31599998,1.1307930661317107,2.6891630585771957,0.9426696918373575,1.1307930661317107,1.7892296482609125,1.1307930661317107
1982-04-14,11.625,50.875,17.746515,-1.0008545,758.6258,0.38442293,0.318,0.9101979241502244,2.503294620875205,0.7693323935574599,0.9704637212391773,1.4311288115569565,0.9101979241502244
1982-04-15,11.625,50.875,20.379333,0.43084717,1060.9995,0.37951666,0.32,1.062849463627384,2.3597901057446355,0.7822994969664002,1.389164114007821,1.6607022869177872,1.062849463627384
1982-04-16,11.625,50.875,21.26484,1.0310364,1218.9413,0.36897796,0.32333332,1.068140999137527,2.1946599530255333,0.7534557037373856,1.5826655788080115,1.6517644997699699,1.068140999137527
1982-04-17,11.625,50.875,19.239628,3.9362488,1026.2451,0.36069307,0.32666665,1.546567415306336,2.3333847545358117,1.2057671400712653,1.9701495736386445,2.3671951442033277,1.546567415306336
1982-04-18,11.625,50.875,18.535011,1.5552368,1002.7685,0.35336813,0.32999998,1.1975434521037605,2.309630573006288,0.9691470796298097,1.4999291734766536,1.814459885882054,1.1975434521037605
1982-04-19,11.625,50.875,14.617337,0.48742676,1031.354,0.3482259,0.33333334,0.8178789313530865,1.8022894035986923,0.8392899452407985,1.0457472591140349,1.2268183724932624,0.8178789313530865
1982-04-20,11.625,50.875,19.368814,3.1533203,1059.3229,0.3439172,0.33666667,1.4539897201667369,2.362674228415237,1.1260289763999518,1.8979111345343125,2.1593906521348503,1.4539897201667369
1982-04-21,11.625,50.875,14.904447,2.9022217,1101.9979,0.34060365,0.34,1.066748202304658,1.7776174009409398,1.0735871672776502,1.438247542543694,1.5687473563303793,1.066748202304658
1982-04-22,11.625,50.875,23.368307,2.6411438,1045.0602,0.33485046,0.34333333,1.7167363014800108,2.938107652712666,1.1019644907181405,2.217146198476057,2.5001014341951753,1.7167363014800108
1982-04-23,11.625,50.875,20.84983,0.15142822,1164.7874,0.32630202,0.34666666,1.0456838131311392,2.412745300256435,0.7522966468775567,1.481558250398327,1.5081978364044857,1.0456838131311392
1982-04-24,11.625,50.875,15.844434,4.5285645,997.94055,0.37237933,0.35,1.468221866545296,2.101362339409326,1.3899725290395,1.8325285403710636,2.097459809350423,1.468221866545296
1982-04-25,11.625,50.875,20.046417,3.0532227,1176.8427,0.34809363,0.35333332,1.4265362193522275,2.3412706701989623,1.067424831593766,2.0411163533441514,2.018683405448752,1.4265362193522275
1982-04-26,11.625,50.875,5.7504106,4.320038,867.14813,0.34469032,0.35666665,0.5829328558171561,0.8496324964540973,1.5205858234292595,0.6655244386541344,0.8171956304537532,0.5829328558171561
1982-04-27,11.625,50.875,18.361181,2.705536,1118.3083,0.3459398,0.36,1.3467646180605508,2.2896372289366727,1.1002271188823998,1.8388375451400203,1.8705064139729872,1.3467646180605508
1982-04-28,11.625,50.875,7.236337,2.7370605,764.87915,0.34555876,0.36333334,0.6856424677978936,1.161908943904243,1.4212490403595635,0.7337783259823347,0.9435446631430706,0.6856424677978936
