,longitude,latitude,ssrd,t2mmin,vpd,FPAR
1982-04-18,11.625,50.875,18.535011,1.5552368,888.6595,0.32999998
1982-04-19,11.625,50.875,14.617337,0.48742676,932.68146,0.33333334
1982-04-20,11.625,50.875,19.368814,3.1533203,966.65393,0.33666667
1982-04-21,11.625,50.875,14.904447,2.9022217,955.2528,0.34
1982-04-22,11.625,50.875,23.368307,2.6411438,890.3437,0.34333333
1982-04-23,11.625,50.875,20.84983,0.15142822,1034.1265,0.34666666
1982-04-24,11.625,50.875,15.844434,4.5285645,888.3192,0.35
1982-04-25,11.625,50.875,20.046417,3.0532227,1029.8391,0.35333332
1982-04-26,11.625,50.875,5.7504106,4.320038,801.22986,0.35666665
1982-04-27,11.625,50.875,18.361181,2.705536,944.6218,0.36
1982-04-28,11.625,50.875,7.236337,2.7370605,730.3509,0.36333334
1982-04-29,11.625,50.875,9.136753,1.1096497,599.51984,0.36666667
1982-04-30,11.625,50.875,19.066364,0.59262085,710.76294,0.37
1982-05-01,11.625,50.875,9.997364,2.3073425,719.70026,0.37933335
1982-05-02,11.625,50.875,19.307247,1.281311,757.2314,0.38866666
1982-05-03,11.625,50.875,19.124392,1.9546204,1177.13,0.398
1982-05-04,11.625,50.875,15.348595,7.852539,1195.9691,0.40733334
1982-05-05,11.625,50.875,13.095562,5.8547974,929.6202,0.41666666
1982-05-06,11.625,50.875,11.618724,4.3248596,731.3342,0.426
1982-05-07,11.625,50.875,16.16539,2.706543,631.63074,0.43533334
1982-05-08,11.625,50.875,19.306732,3.2951965,1069.0049,0.44466665
1982-05-09,11.625,50.875,18.390707,4.6537476,1085.7806,0.454
1982-05-10,11.625,50.875,15.722742,7.1632996,914.709,0.46333334
1982-05-11,11.625,50.875,6.422067,4.3450623,595.63544,0.47266665
1982-05-12,11.625,50.875,18.160084,2.0657349,1155.5061,0.482
1982-05-13,11.625,50.875,25.875626,5.104828,1378.5162,0.49133334
1982-05-14,11.625,50.875,25.638834,6.956421,1509.2511,0.5006667
1982-05-15,11.625,50.875,25.476145,8.31189,1793.6075,0.51
1982-05-16,11.625,50.875,25.24763,10.39444,2120.667,0.515
1982-05-17,11.625,50.875,19.11678,12.616211,1814.0175,0.52
1982-05-18,11.625,50.875,22.76685,12.791443,1662.7211,0.525
1982-05-19,11.625,50.875,17.33758,10.923431,1355.1384,0.53
1982-05-20,11.625,50.875,23.287586,9.075775,1546.6729,0.53499997
1982-05-21,11.625,50.875,17.42542,12.47406,1267.5703,0.53999996
1982-05-22,11.625,50.875,12.074706,12.478119,1368.745,0.54499996
1982-05-23,11.625,50.875,19.440784,10.283264,1248.9187,0.54999995
1982-05-24,11.625,50.875,16.195997,9.157623,1002.50244,0.555
1982-05-25,11.625,50.875,17.368855,8.464874,1390.5203,0.56
1982-05-26,11.625,50.875,26.8377,7.743622,1842.1746,0.565
1982-05-27,11.625,50.875,26.694025,11.081909,2302.5686,0.57
1982-05-28,11.625,50.875,8.913001,9.373383,1109.8702,0.575
1982-05-29,11.625,50.875,16.808804,7.5753174,1197.7983,0.58
1982-05-30,11.625,50.875,26.904161,5.775696,1561.7728,0.585
1982-05-31,11.625,50.875,27.134266,8.900879,2140.3362,0.59
1982-06-01,11.625,50.875,25.530924,13.613159,2637.3538,0.59
1982-06-02,11.625,50.875,27.199823,15.937592,2824.8416,0.59
1982-06-03,11.625,50.875,26.6249,14.301636,2938.18,0.59
1982-06-04,11.625,50.875,26.107538,16.386688,2973.5745,0.59
1982-06-05,11.625,50.875,24.459204,15.734955,3047.5435,0.59
1982-06-06,11.625,50.875,22.41398,17.074219,2276.2612,0.59
1982-06-07,11.625,50.875,22.371119,14.533081,1820.2369,0.59
1982-06-08,11.625,50.875,20.475029,13.622253,1786.7621,0.59
1982-06-09,11.625,50.875,22.436111,12.531555,1547.2711,0.59
1982-06-10,11.625,50.875,19.644135,10.581451,1718.038,0.59
