,longitude,latitude,ssrd,t2mmin,vpd,FPAR,GPP,GPP_constant-Tmin,GPP_constant-SWrad,GPP_constant-VPD,GPP_constant-FPAR
1992-02-17,11.625,50.875,5.357542,-5.6835938,269.57208,0.3723077,0.07528105969361105,0.9433716753585346,0.210771263277855,0.07528105969361105,0.10110059460711
1992-02-18,11.625,50.875,6.4348507,-6.4063416,272.32318,0.36846152,0.04036903285380735,1.1213620237168709,0.09410249297736,0.04036903285380735,0.054780527494170006
1992-02-19,11.625,50.875,6.332959,-5.0064087,330.50262,0.36461538,0.13192400409687263,1.0920861266297404,0.312470057275452,0.13192400409687263,0.18090844672662001
1992-02-20,11.625,50.875,5.464972,-2.5578308,323.8309,0.3607692,0.2510196269911406,0.9324651819878923,0.6889869526993201,0.2510196269911406,0.34789503509604003
1992-02-21,11.625,50.875,2.6767395,0.21154785,343.60205,0.35692307,0.19750439481224957,0.45185173830301895,1.1067815609937925,0.19750439481224957,0.27667642051303876
1992-02-22,11.625,50.875,4.4599743,1.6010437,504.26672,0.3530769,0.3882438774844874,0.7447609389688997,1.3057604754061727,0.3882438774844874,0.5498007338974702
1992-02-23,11.625,50.875,1.9242637,2.716217,619.0285,0.34923077,0.1871689796820392,0.31782811968422353,1.459017646713695,0.1871689796820392,0.26797320820562176
1992-02-24,11.625,50.875,9.503412,-0.74542236,565.11633,0.3453846,0.5885068756431886,1.552378991409097,0.928887765220305,0.5885068756431886,0.8519587666085701
1992-02-25,11.625,50.875,7.723138,-1.0058899,566.21344,0.34153846,0.45322518881262885,1.2475232282208337,0.8802610845733215,0.45322518881262885,0.663505346971215
1992-02-26,11.625,50.875,9.3080435,-0.25332642,633.517,0.3376923,0.6078716688532402,1.486602271590218,0.9795909347435475,0.6078716688532402,0.9000377989862964
1992-02-27,11.625,50.875,10.527904,-0.08660889,686.6913,0.33384615,0.6818678796874621,1.6273696412588594,0.9715151463493521,0.6964942591291748,1.0212307071497784
1992-02-28,11.625,50.875,10.883247,1.0827637,812.3583,0.32999998,0.7549150962213076,1.5409575346423914,1.0404731642422167,0.8321374517430639,1.143810821172334
1992-02-29,11.625,50.875,11.160871,3.0322266,949.3259,0.331875,0.8829700374125412,1.452253351007469,1.1866950671849998,1.065102578302221,1.3302750092844313
1992-03-01,11.625,50.875,11.569839,3.162506,1018.5956,0.33374998,0.887914441985136,1.4416535833497908,1.1511583376205186,1.1247966075312086,1.330208981563289
1992-03-02,11.625,50.875,6.5424924,2.6519165,870.57666,0.335625,0.5309823171487537,0.9076620805961602,1.2173854045640626,0.6075312553189401,0.7910351093463742
1992-03-03,11.625,50.875,6.591337,2.588501,862.0882,0.33749998,0.5372833986082383,0.9245971409537743,1.2227035242051154,0.6113830207194336,0.7959754525144539
1992-03-04,11.625,50.875,10.348034,1.6175842,859.1992,0.339375,0.7638398461675786,1.4624542335201582,1.1072245889908825,0.8675069235293341,1.1253625726225838
1992-03-05,11.625,50.875,12.097764,-0.5826111,922.6306,0.34124997,0.6410268943775832,1.6483077767487355,0.7948083146326667,0.7593306022004066,0.939233627445569
1992-03-06,11.625,50.875,4.962729,5.183136,771.7699,0.343125,0.5532858221512923,0.7493036594681641,1.6723232987877,0.5946752172735299,0.8062452781803894
1992-03-07,11.625,50.875,8.072146,0.4864502,606.44116,0.34499997,0.597574524689987,1.3171137859598567,1.1104380260651634,0.597574524689987,0.866050111091295
1992-03-08,11.625,50.875,12.332384,1.9662781,720.9782,0.34687498,1.0547622854326444,1.9410421152606627,1.2829177457894323,1.0993978376408633,1.5203781567535433
1992-03-09,11.625,50.875,12.052138,1.3440552,883.9857,0.34875,0.8708729674360947,1.7221138371289195,1.0838819229867283,1.005278734198424,1.2485633941736125
1992-03-10,11.625,50.875,13.307293,0.35998535,988.09204,0.35062498,0.7942293202382867,1.7803840399871926,0.8952564434836071,0.9844190880494382,1.1325908956034547
1992-03-11,11.625,50.875,11.359381,1.5345764,751.55237,0.3525,0.9226530811841653,1.7839386720498172,1.2183583082355,0.9794618696222565,1.3087277747293127
1992-03-12,11.625,50.875,5.7113037,1.7548523,646.9919,0.35437497,0.5079029898959772,0.9572238784319208,1.3339414691674785,0.5079029898959772,0.7166180358279495
1992-03-13,11.625,50.875,4.1603355,1.5332336,633.89886,0.35625,0.36254087089476816,0.7009684278707814,1.307133298125,0.36254087089476816,0.5088292924838851
1992-03-14,11.625,50.875,12.5824795,-0.08642578,470.82568,0.35812497,0.8929560564262163,2.13116003920338,1.0645231606690275,0.8929560564262163,1.2467101308604875
1992-03-15,11.625,50.875,13.058176,0.6583557,591.2698,0.35999998,1.0318386530118064,2.2233110385947135,1.1852788471511715,1.0318386530118064,1.43310931991136
1992-03-16,11.625,50.875,10.572757,1.5935364,609.2811,0.35812497,0.9326293077238194,1.7907628796540311,1.3231590980344379,0.9326293077238194,1.30210036418826
1992-03-17,11.625,50.875,5.583859,0.94473267,669.1767,0.35625,0.4480197187805282,0.9304667056708792,1.2035217547054686,0.4530027490197455,0.6287996053060045
1992-03-18,11.625,50.875,11.002754,2.5176086,842.6012,0.35437497,0.9465556036070905,1.6410464694991167,1.2904345633926158,1.0636651349669517,1.335528301571483
1992-03-19,11.625,50.875,8.163001,3.3740234,767.1118,0.3525,0.7983546342608137,1.2698499033892374,1.4670241390283063,0.8555938637453795,1.1324179209373244
1992-03-20,11.625,50.875,7.766888,4.679077,930.65814,0.35062498,0.765399394696305,1.0813780654087384,1.4781970488623726,0.911623862191883,1.0914786999721255
